rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
870,86,University of Tübingen,64.9,870,51.1,104,58.2,93,84.5,242,79.9,116,64.1,423,Germany,"20,620",27.5,13%,59 : 41,University of Tübingen,"History, Philosophy & Theology,Education,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Medicine & Dentistry,Sport Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Geography,Physics & Astronomy,Biological Sciences,Other Health,Mathematics & Statistics,Accounting & Finance,Chemistry,Business & Management,Law,Psychology",False,False
880,88,University of Adelaide,64.7,880,42.7,189,51.8,126,92.2,118,65.3,228,93.6,69,Australia,"23,102",32.8,32%,49 : 51,University of Adelaide Adelaide University,"Communication & Media Studies,Education,Mathematics & Statistics,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Chemistry,History, Philosophy & Theology,Electrical & Electronic Engineering,Sport Science,Psychology,Geography,General Engineering,Computer Science,Architecture,Art, Performing Arts & Design,Veterinary Science,Sociology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Politics & International Studies (incl Development Studies),Law,Economics & Econometrics,Chemical Engineering,Biological Sciences,Medicine & Dentistry,Other Health,Civil Engineering,Languages, Literature & Linguistics",False,False
890,89,University of Bonn,64.6,890,51.6,98,56.1,102,86.0,216,55.0,320,68.7,359,Germany,"27,210",47.5,17%,56 : 44,University of Bonn,"Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Biological Sciences,Politics & International Studies (incl Development Studies),Chemistry,History, Philosophy & Theology,Computer Science,Psychology,Economics & Econometrics,Mathematics & Statistics,Law,Communication & Media Studies,Business & Management,Geology, Environmental, Earth & Marine Sciences,Education,Archaeology,Agriculture & Forestry,Geography,Medicine & Dentistry,Sociology",False,False
900,90,Sorbonne University,64.5,900,58.7,67,58.3,90,76.6,379,40.0,973,72.3,317,France,"41,443",13.9,21%,59 : 41,Sorbonne University,"Geography,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Other Health,History, Philosophy & Theology,Communication & Media Studies,Mathematics & Statistics,Civil Engineering,Medicine & Dentistry,General Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Education,Chemistry,Business & Management,Chemical Engineering",False,False
910,91,Free University of Berlin,64.2,910,54.2,91,62.4,72,74.8,415,41.7,777,76.4,260,Germany,"26,497",41.9,23%,62 : 38,Free University of Berlin,"Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Biological Sciences,Physics & Astronomy,Law,Mathematics & Statistics,History, Philosophy & Theology,Communication & Media Studies,Veterinary Science,Accounting & Finance,Sociology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Geography,Psychology,Business & Management",False,False
920,91,Korea Advanced Institute of Science and Technology (KAIST),64.2,920,64.5,49,66.0,60,65.7,560,100.0,3,38.2,1007,South Korea,"9,946",10.7,9%,21 : 79,Korea Advanced Institute of Science and Technology (KAIST),"Politics & International Studies (incl Development Studies),Other Health,Biological Sciences,Accounting & Finance,Psychology,Sociology,Sport Science,Art, Performing Arts & Design,Education,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Electrical & Electronic Engineering,Economics & Econometrics,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Law,Mechanical & Aerospace Engineering,Archaeology,Languages, Literature & Linguistics,General Engineering,Computer Science,Veterinary Science,Communication & Media Studies,Physics & Astronomy,Chemistry,Medicine & Dentistry",False,False
930,93,Université Paris-Saclay,63.9,930,56.7,74,55.2,109,79.1,342,54.6,329,69.7,346,France,"44,443",14.9,19%,49 : 51,Université Paris-Saclay,"Computer Science,Art, Performing Arts & Design,Civil Engineering,Sport Science,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Architecture,General Engineering,Sociology,Business & Management,Mechanical & Aerospace Engineering,Other Health,Accounting & Finance,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,Economics & Econometrics,Law,Biological Sciences,Politics & International Studies (incl Development Studies)",False,False
940,94,University of Bern,63.7,940,46.0,145,46.5,162,90.7,133,86.3,88,88.2,134,Switzerland,"11,728",17.2,17%,58 : 42,University of Bern,"Psychology,Education,Communication & Media Studies,Business & Management,Veterinary Science,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Law,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Accounting & Finance,Geography,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Sport Science,Economics & Econometrics,Chemistry,Sociology",False,False
950,95,"University of California, Irvine",63.6,950,43.5,176,51.6,127,93.6,102,59.4,277,73.2,295,United States,"36,655",16.9,28%,52 : 48,"University of California, Irvine","Languages, Literature & Linguistics,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Economics & Econometrics,Sociology,Civil Engineering,Business & Management,General Engineering,Architecture,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Other Health,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology",False,False
960,95,Institut Polytechnique de Paris,63.6,960,58.5,68,58.8,85,64.8,575,72.7,173,95.6,38,France,"5,999",6.7,41%,24 : 76,Institut Polytechnique de Paris,"Other Health,Biological Sciences,Languages, Literature & Linguistics,Economics & Econometrics,Chemistry,Education,Mathematics & Statistics,Civil Engineering,Sociology,Communication & Media Studies,History, Philosophy & Theology,Chemical Engineering,Art, Performing Arts & Design,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences",False,False
970,95,Nanjing University,63.6,970,58.4,69,58.2,91,74.3,426,87.3,84,55.2,568,China,"36,426",16.5,8%,54 : 46,Nanjing University,"Other Health,Sociology,Economics & Econometrics,Chemistry,Medicine & Dentistry,Archaeology,History, Philosophy & Theology,General Engineering,Business & Management,Biological Sciences,Architecture,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Geography,Physics & Astronomy,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Politics & International Studies (incl Development Studies),Education,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Computer Science,Communication & Media Studies,Mathematics & Statistics",False,False
980,98,Vanderbilt University,63.5,980,49.5,113,47.5,153,96.5,73,66.7,216,50.6,657,United States,"12,696",3.8,15%,55 : 45,Vanderbilt University,"Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,General Engineering,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Law,Chemical Engineering,Mathematics & Statistics,Computer Science,Archaeology,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Sociology,Civil Engineering,Accounting & Finance,Other Health,Chemistry",False,False
990,99,City University of Hong Kong,63.4,990,47.2,130,53.0,120,79.9,318,76.6,147,99.6,2,Hong Kong,"9,099",12.1,62%,54 : 46,City University of Hong Kong CityU HK,"Civil Engineering,Chemistry,Architecture,Psychology,Business & Management,Law,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Biological Sciences,General Engineering,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science,Veterinary Science,Mathematics & Statistics",False,False
1000,99,RWTH Aachen University,63.4,1000,56.8,73,64.5,64,66.1,555,93.8,46,65.1,404,Germany,"39,738",50.0,28%,33 : 67,RWTH Aachen University,"Civil Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Architecture,Medicine & Dentistry,Chemistry,Other Health,History, Philosophy & Theology,Biological Sciences,Computer Science,Mechanical & Aerospace Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Sociology,Physics & Astronomy,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Chemical Engineering,Geography,General Engineering,Psychology,Politics & International Studies (incl Development Studies)",False,False
1010,101,University of Basel,63.0,1010,47.0,133,44.1,186,86.5,212,99.2,19,96.8,21,Switzerland,"8,632",10.9,30%,57 : 43,University of Basel,"Other Health,Languages, Literature & Linguistics,Mathematics & Statistics,Sociology,Economics & Econometrics,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Geography,Archaeology,Chemistry,Accounting & Finance,Education,Communication & Media Studies,Art, Performing Arts & Design,Law,Psychology,Medicine & Dentistry,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Biological Sciences,Physics & Astronomy",False,False
1020,101,King Abdulaziz University,63.0,1020,51.7,97,36.7,284,91.9,122,74.2,164,93.6,71,Saudi Arabia,"31,545",7.8,22%,54 : 46,King Abdulaziz University,"Accounting & Finance,Art, Performing Arts & Design,Biological Sciences,Architecture,Education,General Engineering,Physics & Astronomy,Archaeology,Other Health,Geography,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Psychology,Electrical & Electronic Engineering,Veterinary Science,Computer Science,Agriculture & Forestry,Business & Management,Law,Chemistry,Sport Science,Economics & Econometrics",False,False
1030,101,University of Minnesota,63.0,1030,55.1,84,56.9,100,81.2,294,77.8,136,41.7,911,United States,"61,009",12.0,10%,54 : 46,University of Minnesota,"Veterinary Science,Business & Management,Psychology,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),Geography,Mathematics & Statistics,Sociology,Agriculture & Forestry,Law,Biological Sciences,Chemistry,Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Sport Science,Computer Science,History, Philosophy & Theology,Economics & Econometrics,Chemical Engineering,Other Health,Accounting & Finance,Architecture,Communication & Media Studies,Education,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",False,False
1040,104,"University of Maryland, College Park",62.9,1040,48.1,124,57.7,95,89.7,154,40.0,967,42.6,882,United States,"33,775",16.5,11%,49 : 51,"University of Maryland, College Park","Chemical Engineering,Business & Management,Architecture,History, Philosophy & Theology,Chemistry,Other Health,Art, Performing Arts & Design,Electrical & Electronic Engineering,Archaeology,Politics & International Studies (incl Development Studies),Education,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Agriculture & Forestry,Communication & Media Studies,Veterinary Science,General Engineering,Economics & Econometrics,Sport Science,Geography,Biological Sciences,Mathematics & Statistics,Computer Science",False,False
1050,104,University of Warwick,62.9,1050,44.8,162,49.6,140,88.1,179,42.7,712,94.9,46,United Kingdom,"23,230",13.1,44%,50 : 50,University of Warwick,"Sociology,Geography,Chemistry,Accounting & Finance,Medicine & Dentistry,Psychology,Law,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Mathematics & Statistics,General Engineering,Other Health,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Business & Management,Biological Sciences,Communication & Media Studies",False,False
1060,106,Michigan State University,62.8,1060,56.2,77,55.6,106,78.8,346,39.9,980,61.9,454,United States,"45,465",16.0,13%,52 : 48,Michigan State University,"Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Chemical Engineering,Business & Management,Architecture,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sport Science,General Engineering,Geography,Communication & Media Studies,Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,Mathematics & Statistics,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Other Health,Archaeology,Physics & Astronomy,Agriculture & Forestry,History, Philosophy & Theology",False,False
1070,107,Ghent University,62.7,1070,48.6,119,60.1,80,77.8,364,80.0,113,63.9,425,Belgium,"39,437",35.6,12%,57 : 43,Ghent University,"Accounting & Finance,Education,Economics & Econometrics,General Engineering,Psychology,Archaeology,Computer Science,Sport Science,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Law,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Veterinary Science,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry,Sociology",False,False
1080,108,University of Birmingham,62.6,1080,40.5,224,46.2,170,95.2,87,42.3,731,92.2,91,United Kingdom,"31,820",15.0,34%,58 : 42,University of Birmingham,"Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sociology,Education,Accounting & Finance,Art, Performing Arts & Design,Sport Science,Archaeology,General Engineering,Medicine & Dentistry,Law,Economics & Econometrics,Physics & Astronomy,Electrical & Electronic Engineering,Computer Science,History, Philosophy & Theology,Geography,Psychology,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Chemical Engineering,Mathematics & Statistics",False,False
1090,108,University of Southampton,62.6,1090,41.4,209,47.5,152,92.3,117,44.1,610,94.6,52,United Kingdom,"21,175",13.7,39%,53 : 47,University of Southampton,"Sociology,Mechanical & Aerospace Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Business & Management,Mathematics & Statistics,General Engineering,Accounting & Finance,Communication & Media Studies,Biological Sciences,Geography,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Archaeology,History, Philosophy & Theology,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Computer Science,Education,Psychology,Law",False,False
1100,110,University of Helsinki,62.5,1100,45.9,149,58.5,89,86.6,208,39.1,1092,57.0,531,Finland,"23,059",15.8,5%,67 : 33,University of Helsinki,"Biological Sciences,Languages, Literature & Linguistics,Chemistry,Sociology,Other Health,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Law,Psychology,Economics & Econometrics,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Archaeology,Education,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,False
1110,111,University of Montreal,62.3,1110,50.9,107,53.2,119,75.8,395,76.5,148,85.5,158,Canada,"38,189",20.8,22%,,University of Montreal Université de Montréal Universite de Montreal,"General Engineering,Medicine & Dentistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,History, Philosophy & Theology,Sociology,Accounting & Finance,Biological Sciences,Communication & Media Studies,Architecture,Mathematics & Statistics,Chemical Engineering,Chemistry,Law,Veterinary Science,Sport Science,Geography,Education,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Psychology,Computer Science,Other Health",False,False
1120,112,Ohio State University (Main campus),62.2,1120,53.0,93,51.2,130,83.4,256,55.3,317,60.3,474,United States,"55,814",11.8,13%,51 : 49,Ohio State University (Main campus),"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Sport Science,Chemistry,Geography,History, Philosophy & Theology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Civil Engineering,Psychology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Architecture,Computer Science,Veterinary Science,Business & Management,Law,Archaeology,Sociology",False,False
1130,113,University of Freiburg,61.9,1130,47.8,128,52.8,121,80.8,303,96.2,34,67.3,379,Germany,"20,253",37.2,17%,53 : 47,University of Freiburg,"Business & Management,Electrical & Electronic Engineering,Mathematics & Statistics,Medicine & Dentistry,Geography,Sport Science,Economics & Econometrics,Agriculture & Forestry,Languages, Literature & Linguistics,Law,Computer Science,Biological Sciences,Archaeology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Education,Chemistry,History, Philosophy & Theology,General Engineering,Physics & Astronomy,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Communication & Media Studies,Accounting & Finance,Chemical Engineering,Psychology",False,False
1140,114,University of Copenhagen,61.7,1140,45.1,157,47.5,150,87.2,200,55.0,321,84.7,165,Denmark,"31,519",4.2,16%,62 : 38,University of Copenhagen,"Languages, Literature & Linguistics,Sociology,Chemistry,History, Philosophy & Theology,Law,Agriculture & Forestry,Economics & Econometrics,Veterinary Science,Geography,Sport Science,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Archaeology,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Psychology",False,False
1150,114,Université Paris Cité,61.7,1150,51.5,99,44.8,179,89.3,162,37.3,1526,68.3,364,France,"62,747",17.0,19%,65 : 35,Université Paris Cité france international student life,"Medicine & Dentistry,Archaeology,Psychology,Mechanical & Aerospace Engineering,Sport Science,Computer Science,Law,Architecture,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Sociology,Mathematics & Statistics,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Other Health,Education,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management",False,False
1160,114,University of Sheffield,61.7,1160,43.6,175,46.4,165,89.5,158,47.4,477,88.5,130,United Kingdom,"27,465",14.5,41%,53 : 47,University of Sheffield united kingdom UK Sheffield,"Education,Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Mechanical & Aerospace Engineering,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,General Engineering,Computer Science,Communication & Media Studies,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Business & Management,Civil Engineering,Chemistry,Sociology,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Law,Politics & International Studies (incl Development Studies)",False,False
1170,117,Aarhus University,61.2,1170,40.6,221,60.0,81,77.6,365,74.1,165,77.9,240,Denmark,"26,475",13.5,10%,55 : 45,Aarhus University,"Education,Psychology,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Communication & Media Studies,Archaeology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Accounting & Finance,Civil Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Computer Science,Geography,Chemistry,Other Health,Agriculture & Forestry,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Sociology,Languages, Literature & Linguistics",False,False
1180,118,University of Alberta,61.1,1180,48.8,115,52.7,122,72.9,444,82.7,100,89.2,120,Canada,"32,338",21.6,28%,,University of Alberta,"Geography,Archaeology,Computer Science,Education,Law,Politics & International Studies (incl Development Studies),Communication & Media Studies,Psychology,General Engineering,Medicine & Dentistry,History, Philosophy & Theology,Biological Sciences,Other Health,Chemistry,Art, Performing Arts & Design,Civil Engineering,Architecture,Business & Management,Agriculture & Forestry,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Sport Science,Sociology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences",False,False
1190,119,University of Göttingen,61.0,1190,46.3,142,53.8,115,83.9,250,40.1,946,63.0,437,Germany,"30,221",26.0,14%,52 : 48,University of Göttingen,"Politics & International Studies (incl Development Studies),Veterinary Science,Economics & Econometrics,Chemistry,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Law,Geography,Languages, Literature & Linguistics,Sport Science,Psychology,Archaeology,Agriculture & Forestry,Business & Management,Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Other Health,Computer Science,Mathematics & Statistics,Accounting & Finance,Education,Sociology",False,False
1200,119,Lund University,61.0,1200,40.5,225,55.5,107,81.0,297,79.5,118,78.5,237,Sweden,"28,545",11.5,18%,55 : 45,Lund University,"Communication & Media Studies,Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Law,Archaeology,Economics & Econometrics,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Art, Performing Arts & Design,Business & Management,Psychology,Architecture,Mechanical & Aerospace Engineering,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Biological Sciences,General Engineering,Geography,Chemical Engineering",False,False
1210,121,Vrije Universiteit Amsterdam,60.9,1210,38.4,276,52.2,125,87.5,196,59.1,282,79.4,225,Netherlands,"29,796",19.8,16%,56 : 44,Vrije Universiteit Amsterdam,"Architecture,Mathematics & Statistics,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Geography,Law,Communication & Media Studies,Computer Science,Chemistry,Education,Accounting & Finance,Medicine & Dentistry,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Psychology,Agriculture & Forestry,Languages, Literature & Linguistics,Biological Sciences",False,False
1220,122,Lancaster University,60.8,1220,38.7,266,40.0,235,96.9,67,38.3,1224,94.9,44,United Kingdom,"14,380",12.8,39%,51 : 49,Lancaster University,"Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Geography,Medicine & Dentistry,Chemistry,Electrical & Electronic Engineering,Accounting & Finance,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Physics & Astronomy,Law,Education,Economics & Econometrics,Biological Sciences,Sociology,Sport Science,Other Health,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Psychology,Computer Science,Chemical Engineering,Business & Management,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Architecture",False,False
1230,123,Dartmouth College,60.7,1230,59.8,57,40.4,231,88.2,177,40.0,960,42.0,902,United States,"6,440",7.8,15%,49 : 51,Dartmouth College,"Physics & Astronomy,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Geography,Other Health,Art, Performing Arts & Design,Archaeology,Computer Science,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,General Engineering,Biological Sciences,Civil Engineering,Psychology,Chemistry,Politics & International Studies (incl Development Studies)",False,False
1240,124,Queen Mary University of London,60.4,1240,34.3,370,41.3,219,97.7,51,44.0,615,97.1,19,United Kingdom,"20,505",13.1,46%,55 : 45,Queen Mary University of London,"Communication & Media Studies,Law,Economics & Econometrics,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,General Engineering,Biological Sciences,Chemistry,Geography,Business & Management,Computer Science,History, Philosophy & Theology,Civil Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Veterinary Science,Other Health,Chemical Engineering",False,False
1250,124,University of Vienna,60.4,1250,49.4,114,59.3,83,65.1,571,44.8,575,95.8,35,Austria,"35,929",42.9,29%,66 : 34,University of Vienna,"Communication & Media Studies,Education,Law,Economics & Econometrics,Sport Science,Psychology,Biological Sciences,Sociology,Other Health,Physics & Astronomy,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Computer Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Geography,Languages, Literature & Linguistics,Business & Management,Chemistry",False,False
1260,126,University of Oslo,60.2,1260,40.1,232,48.5,143,89.0,165,44.5,584,77.0,250,Norway,"21,548",13.3,15%,66 : 34,University of Oslo,"Medicine & Dentistry,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,Other Health,Psychology,Languages, Literature & Linguistics,Law,Biological Sciences,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Sociology,Education,Geography,History, Philosophy & Theology,Chemistry,Archaeology,Mathematics & Statistics",False,False
1270,127,Purdue University West Lafayette,60.1,1270,55.9,79,64.2,67,56.9,722,67.8,212,71.1,332,United States,"44,551",16.9,20%,44 : 56,Purdue University West Lafayette,"Architecture,History, Philosophy & Theology,Sociology,Chemistry,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Sport Science,Psychology,Law,Business & Management,Electrical & Electronic Engineering,Art, Performing Arts & Design,Economics & Econometrics,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Civil Engineering,Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Veterinary Science,Accounting & Finance",False,False
1280,128,University of Hamburg,59.8,1280,46.5,139,54.4,111,75.4,403,96.1,36,60.4,472,Germany,"30,676",61.5,12%,58 : 42,University of Hamburg,"Accounting & Finance,Chemistry,Computer Science,Archaeology,Education,Communication & Media Studies,Art, Performing Arts & Design,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sociology,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Psychology,Economics & Econometrics,Physics & Astronomy,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Law,Geography,Business & Management,Sport Science",False,False
